cfIdx,id,size
2517,504,< 1/2 Ton
2518,504,1/2 Ton
2523,525,3/4 Ton
2524,525,1 Ton
2525,525,Class 4
2526,525,Class 5
2527,481,1/2 Ton
2528,521,3/4 Ton
2529,521,1 Ton
2530,521,Class 4
2531,521,Class 5
2532,498,3/4 Ton
2533,498,1 Ton
2534,498,Class 4
2535,498,Class 5
2536,482,3/4 Ton
2537,482,1 Ton
2538,482,Class 4
2539,482,Class 5
2540,538,1/2 Ton
2541,538,3/4 Ton
2542,538,1 Ton
2543,539,1/2 Ton
2544,539,3/4 Ton
2545,539,1 Ton
2546,540,1/2 Ton
2547,540,3/4 Ton
2548,540,1 Ton
2549,541,1/2 Ton
2550,541,3/4 Ton
2551,541,1 Ton
2552,542,1/2 Ton
2553,542,3/4 Ton
2554,542,1 Ton
2555,543,1/2 Ton
2556,543,3/4 Ton
2557,543,1 Ton
2558,544,3/4 Ton
2559,544,1 Ton
2560,544,Class 4
2561,545,3/4 Ton
2562,545,1 Ton
2563,545,Class 4
2564,545,Class 5
2565,546,3/4 Ton
2566,546,1 Ton
2567,546,Class 4
2568,546,Class 5
2569,547,3/4 Ton
2570,547,1 Ton
2571,547,Class 4
2572,547,Class 5
2573,548,3/4 Ton
2574,548,1 Ton
2575,548,Class 4
2576,549,3/4 Ton
2577,549,1 Ton
2578,549,Class 4
2579,549,Class 5
2589,155,1/2 Ton
2590,155,3/4 Ton
2591,155,1 Ton
2592,156,1/2 Ton
2593,156,3/4 Ton
2594,156,1 Ton
2595,157,1/2 Ton
2596,157,3/4 Ton
2597,157,1 Ton
2598,159,3/4 Ton
2599,159,1 Ton
2600,159,Class 4
2601,159,Class 5
2608,160,1/2 Ton
2609,160,3/4 Ton
2610,160,1 Ton
2611,161,1/2 Ton
2612,161,3/4 Ton
2613,161,1 Ton
2614,162,3/4 Ton
2615,162,1 Ton
2616,162,Class 4
2617,163,3/4 Ton
2618,163,1 Ton
2619,163,Class 4
2620,163,Class 5
2621,164,1 Ton
2622,164,Class 4
2623,164,Class 5
2624,165,1 Ton
2625,165,Class 4
2626,165,Class 5
2627,165,Class 6
2628,154,1/2 Ton
2629,154,3/4 Ton
2630,151,< 1/2 Ton
2631,151,1/2 Ton
2632,152,< 1/2 Ton
2633,152,1/2 Ton
2634,152,3/4 Ton
2635,153,1/2 Ton
2636,153,3/4 Ton
2645,553,1/2 Ton
2646,551,1/2 Ton
2647,551,3/4 Ton
2648,552,1/2 Ton
2649,550,1/2 Ton
2650,550,3/4 Ton
2651,120,1/2 Ton
2652,120,3/4 Ton
2653,123,3/4 Ton
2654,123,1 Ton
2655,122,3/4 Ton
2656,122,1 Ton
2659,121,3/4 Ton
2660,121,1 Ton
2661,507,Class 4
2662,507,Class 5
2663,507,Class 6
