ID,MFG ID,Title,Current Model,Plow Type,Blade Width Expanded,Blade Width Retracted,Blade Width Scoop,Angled Width Expanded,Angled Width Retracted,Angled Width Scoop,Blade Height Min,Blade Height Max,Blade Gauge,Blade Thickness,Weight,Blade Material,Plowshoes,Blade Cutting Edge Thickness,Blade Cutting Edge Height,Wing Cutting Edge Thickness,Wing Cutting Edge Height,Vertical Ribs,Diagonal Ribs,Trip Feature,Trip Springs,Trip Spring Type,Angle Cylinder Diameter,Angle Cylinder Length,Angle Cylinder Type,Lift Cylinder Diameter,Lift Cylinder Length,Lift Cylinder Type,Controls Style,Controls Type,Mount,Snow Deflector,Snow Catcher,Warranty,Notes,Image,Down Pressure,Paint,Primer,Closed Loop Electric,Led Lights,Price,Moving Capacity,SPN Rank,Youtube Video ID,PDF
117,13,750,TRUE,straight,90,0,0,0,0,0,26,26,12,0.500,460,steel,,0.375,6,,,6,2,,2,,,,,,,,both,wired,,,,2 years,,default_hiniker_straight-plow.png,No,Powder Coat,No,No,No,3,2,48,,
120,3,7600 HD,FALSE,straight,90,0,0,81,0,0,31,31,12,0.500,667,steel,,0.500,6,,,6,2,full blade,2,,,,,,,,both,wired,,,,2 years,,plows_blizzard_7600hd-7-6_2015.jpg,No,Powder Coat,No,No,No,3,3,53,,
121,3,8000 HD,FALSE,straight,96,0,0,86,0,0,31,31,12,0.500,684,steel,,0.500,6,,,6,2,full blade,2,,,,,,,,both,wired,,,,2 years,,plows_blizzard_8000hd-8-0_2015.jpg,No,Powder Coat,No,No,No,3,3,53,,
122,3,8600 HD,FALSE,straight,102,0,0,91,0,0,31,31,12,0.500,701,steel,,0.500,6,,,6,2,full blade,2,,,,,,,,both,wired,,,,2 years,,plows_blizzard_8600hd-8-6_2015.jpg,No,Powder Coat,No,No,No,3,3,53,,
123,3,9000 HD,FALSE,straight,108,0,0,97,0,0,31,31,12,0.500,718,steel,,0.500,6,,,6,2,full blade,2,,,,,,,,both,wired,,,,2 years,,plows_blizzard_9000hd-9-0_2015.jpg,No,Powder Coat,No,No,No,3,3,53,,
134,5,Sport Duty poly 7',FALSE,straight,84,0,0,73,0,0,26,26,,0.250,372,poly,optional,0.250,6,,,4,2,full blade,2,extension,1.5,6.5,single acting,1.75,10,,both,wired,SmartHitch 2,optional,,2 years parts and labor,Plow weight does not include vehicle mount weight. Vehicle mount weight range = 45-75 lbs.,plows_boss_sportDuty_7-0poly_2015.jpg,No,Powder Coat,No,No,optional,4,2,43,,
135,5,"Sport Duty poly 7'6""",FALSE,straight,90,0,0,78,0,0,26,26,,0.250,421,poly,optional,0.375,6,,,6,2,full blade,2,extension,1.5,6.5,single acting,1.75,10,,both,wired,SmartHitch 2,optional,,2 years parts and labor,Plow weight does not include vehicle mount weight. Vehicle mount weight range = 45-75 lbs.,plows_boss_sportDuty_7-6poly_2015.jpg,No,Powder Coat,No,No,optional,4,2,43,,
136,5,"standardDuty steel 7'6""         ",FALSE,straight,90,0,0,78,0,0,27.5,27.5,14,,597,steel,included,0.375,6,,,7,,full blade,3,extension,1.5,10,single acting,2,10,,both,wired,SmartHitch 2,optional,,2 years parts and labor,,plows_boss_standardDuty_7-6_2015.jpg,No,Powder Coat,No,No,optional,4,2,45,,
137,5,"Super Duty steel 7'6""",FALSE,straight,90,0,0,78,0,0,29,29,11,,680,steel,included,0.500,6,,,7,2,,4,,1.5,10,,,10,,,wired,SmartHitch 2,,,2 years parts and labor,,default_boss_straight-plow.png,No,Powder Coat,No,No,optional,4,2,46,,
138,5,"Super Duty steel 8'0""",FALSE,straight,96,0,0,83,0,0,29,29,11,,698,steel,included,0.500,6,,,7,2,,4,,1.5,10,,,10,,,wired,SmartHitch 2,,,2 years parts and labor,,default_boss_straight-plow.png,No,Powder Coat,No,No,optional,4,2,46,,
